Title,Media URL,Pinterest board,Thumbnail,Description,Link,Publish date,Keywords
“I’m Pretty Proud Of It”: 82 Creative People Who Used 3D Printers To Make Things They Couldn’t Find Anywhere Else,https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0901-im-pretty-proud-of-it-82-creative-people-who-used-3d-printer.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/amazing-3d-printing?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
120 Throwback Memes That Prove Life Was Cooler Back In The ‘90s (New Pics),https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0902-120-throwback-memes-that-prove-life-was-cooler-back-in-the-9.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/nostalgic-memes-90s-babies-only?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
“Couldn’t Stop Laughing”: 57 Hollywood Posts Better Than The Actual Movies,https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0903-couldnt-stop-laughing-57-hollywood-posts-better-than-the-act.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/interesting-media-posts-unforgettablebloopers?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
"Teacher Cuts What She Thinks Is Student’s Headphone Cord, Puts Their Life In Danger",https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0904-teacher-cuts-what-she-thinks-is-students-headphone-cord-puts.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/teacher-student-medical-incident-fail?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
"Entitled Aunt Catches Bouquet At Every Wedding, Shoves Folks Out Of The Way To Catch It",https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0905-entitled-aunt-catches-bouquet-at-every-wedding-shoves-folks-.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/aunt-obsessed-catching-bouquet?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
“What’s The Dumbest Thing You’ve Gotten Fired For?” (28 Hilarious Answers),https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0906-whats-the-dumbest-thing-youve-gotten-fired-for-28-hilarious-.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/dumbest-reason-gotten-fired?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
"Woman Ends Pregnancy Over Shocking Scan, Lies To Hubby Saying It Was Miscarriage",https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0907-woman-ends-pregnancy-over-shocking-scan-lies-to-hubby-saying.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/wife-lie-miscarriage?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
"Wife Refuses To End Her Affair, Expects Husband To Pretend Nothing Happened",https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0908-wife-refuses-to-end-her-affair-expects-husband-to-pretend-no.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/wife-cheated-wont-block-other-man?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
Couple’s Vacation Turns Into A Nightmare After 19YO Housesitter Totals The Car And Loses Their Cat,https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0909-couples-vacation-turns-into-a-nightmare-after-19yo-housesitt.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/house-sitter-car-cat-stole-lost?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
"Guy Insists On Asking GF’s Father Before Proposing, Despite Her Pleas, And Ends Up Without Her",https://raw.githubusercontent.com/Arslan0070/Pins/latest/pins/0910-guy-insists-on-asking-gfs-father-before-proposing-despite-he.jpg,Boredpanda Viral,0:00,,https://www.boredpanda.com/boyfriend-wants-toxic-fathers-blessing?utm_source=arslan&utm_medium=social&utm_campaign=arslan,2026-09-06,
